정류소명,no
흥덕마을6.7단지,334
대진화학,1527
범계사거리.호평지하도,399
신기초등학교후문,7
군포시평생학습원,80
원효충무아파트,135
대평중학교,468
롯데백화점.구리역입구(중),84
수원미술전시관.만석공원,637
한림대병원앞,293
수원월드컵경기장.아름학교,157
청소년문화센터,443
중앙병원,207
칠보중학교.칠보고등학교,282
파밀리에(아).인계동주민센터,606
그린빌주공5단지,338
GS자이아파트후문,246
반도유보라,184
KT.주택전시관,622
대일초교.학년쇼핑,563
녹산문고앞,2005
아랫머드내.신동아자동차학원,60
융건릉,89
장안대학,104
경기도보건환경연구원.삼익아파트.광교산입구,632
주공4단지,124
삼성아파트,80
매탄고등학교.그린빌주공1.2단지,1015
반석초등학교,1780
포도원.현대.대림아파트.유한양행,2171
판교역.낙생육교.현대백화점,95
글로벌청소년드림센터.굿모닝하우스,1228
대원터널사거리.우리은행,751
고등동구터미널,659
풍산아파트.벽산아파트.힐스테이트,834
한국가스안전공사,1210
대림대학,276
호계2동주민센터,582
세류역환승주차장,144
중앙병원,144
기업은행,19
화서역,805
풍덕천2동주민센터.현대성우아파트,703
신창미션힐아파트,3
정든마을.우성아파트,301
권선시장앞,709
주접지하도.삼익아파트,91
농수산물센터,180
세류중학교.아세아시멘트,630
장안등기소.성우아파트,2464
한성아파트.한국아파트.현대1차아파트,393
정자3동주민센터,365
원리,33
팔곡주유소건너편,73
반송고등학교,459
한화꿈에그린,358
발안삼거리.바다마트,241
사강시장,77
한국산업인력공단,170
현대아이파크10단지,570
단대오거리역.세이브존,247
KB손해보험인재니움,1076
래미안영통마크원2단지,1275
원대마을.한신아파트,250
원천주공2단지,491
세류1동주민센터,553
수원역,603
견산1리,51
하북삼거리.진위역,552
광교테크노밸리.푸르지오월드마크,854
파크타운.양지마을,649
성복역2번출구,181
주공7.8단지,344
운암주공2.3단지.운천고,829
돌다리.구리전통시장(중),47
양주역,16
양주역,2
금성아파트.한국2차아파트,107
가구단지입구,402
한양아파트후문,42
제일아파트.대호중학교,541
구운동성원아파트.일월먹거리촌,724
힐스테이트영통,41
동남보건대학,775
광교이마트,12
수원대학교,384
원효충무아파트,59
우림그린빌리지,716
내리주유소,3
강남대역.강남대입구,372
정곡경로당,10
광교산,110
동백고.풍림코아루.호수마을서해그랑블,35
태영.대우아파트,803
동화휴먼시아2단지,580
매화마을사거리.장미마을8단지,4
양노3리,70
수촌마을,21
한보라마을입구,75
광교지웰홈스.광교마을40단지,577
SK스카이뷰.SK아트리움,738
동화휴먼시아6단지,255
모란역5번출구,107
레이크사이드골프장,3
유천교,290
화서오거리,316
동원동,124
광교중앙역.광교고등학교,727
한일타운아파트,732
수일중학교,644
금성마을,213
남부시장,135
서호중학교,79
연무동차고지,791
수원지방법원,255
한국에너지공단.여성회관,312
e편한세상,323
중원사거리,692
우남블루존아파트,196
수원월드컵경기장.동성중학교,740
대평중학교,304
광교호반베르디움,465
에일린의뜰,14
수평사거리.우림아파트,2
대림대학,244
센트럴하이츠아파트,175
신갈.기흥중학교.삼익아파트,288
체이스컬트,31
세마중고교,764
대림아파트,285
센트럴힐즈.금강,558
살구골현대아파트.영통역4번출구,218
본오동우체국,82
화서시장,562
정든공원,414
후사1리앞,1
자연앤아너스빌,410
현대그린프라자,749
용인터미널,63
모아미래도.우림필유(중),313
LH65블럭.하우스디더레이크.나래학교,312
KT남수원지사,455
대선초.e편한세상영통2차아파트,268
화서문로터리,484
새마을연수원입구,23
반도.모아아파트,1214
샘내현대아파트,1084
11단지주공아파트,24
경기남부보훈지청.경기도교육청,149
광교중앙.아주대역환승센터,494
로얄팰리스,425
경남아너스빌.동신아파트,1060
정자역,204
황제연립,78
연무시장입구,335
안녕동,267
수성중학교,62
은행시장.남한산성시장.은행동청소년문화의집,711
발안초등학교,501
세류2동.세류역환승주차장,93
상률초교,126
